,Resort,Ski Pass,Location (State),Days Open This Season,Avg Total Snowfall (inches),Beginner Runs,Intermediate Runs,Advanced Runs,Expert Runs,Lift Amount,Skiable Terrain (Acres),Top Elevation (ft),Total Runs,skiable_acres,base_elevation_ft,top_elevation_ft,vertical_ft,trails,historical_average_snowfall_inches,historical_average_snowfall_days,Limited or unlimited,Longest Run,Snow Making,Years Open,Night Skiing,Price
0,Keystone,Epic,Colorado,170,210,26,43,66,0,20,3149,12408,135,3149,9280,12408,3128,128,329,81,unlimited,3.5,662,52,288 ac,120
2,Vail,Epic,Colorado,160,354,63,96,110,5,31,5317,11570,275,5317,8120,11570,3450,195,254,68,unlimited,4,461,60,,127
3,Park City,Epic,Utah,139,260,26,140,95,78,41,7300,10000,341,7300,6900,10026,3126,348,287,57,unlimited,3.5,500,59,,97
4,Beaver Creek,Epic,Colorado,144,325,57,45,36,12,25,1815,11440,150,2082,8100,11440,3340,167,238,63,unlimited,2.8,650,42,,141
5,Crested Butte,Epic,Colorado,145,236,17,30,30,44,16,1547,12106,121,1547,9375,12162,2787,162,211,53,unlimited,2.6,297,61,,98
7,Northstar California,Epic,California,130,341,13,60,27,0,20,3170,8610,100,3170,6330,8610,2280,97,348,46,unlimited,1.4,1500,50,,120
8,Kirkwood Mountain,Epic,California,175,362,10,26,33,17,15,2300,9800,86,2300,7800,9800,2000,86,370,46,unlimited,2.5,200,50,,85
9,Stevens Pass,Epic,Washington,130,460,3,25,15,9,10,1125,5845,52,1125,4061,5845,1784,37,338,61,unlimited,1,0,85,450 ac,63
10,Stowe Mountain,Epic,Vermont,150,315,19,64,17,17,12,485,4395,116,485,1559,3719,2160,116,224,61,unlimited,3.7,388,89,,106
11,Okemo Mountain,Epic,Vermont,140,200,40,46,26,11,20,667,3344,122,667,1144,3344,2200,123,120,32,unlimited,3.4,654,66,,86
12,Mount Snow,Epic,Vermont,135,133,13,57,14,1,20,600,3600,86,600,1900,3600,1700,86,135,39,unlimited,1.2,240,70,150 ac,81
16,Mt. Brighton,Epic,Michigan,105,60,5,12,7,2,13,130,1330,26,130,1100,1330,230,25,418,67,limited,0.1,130,62,130 ac,67
17,Telluride,Epic,Colorado,132,276,23,44,31,50,18,2000,13150,147,2000,8725,13150,4425,127,219,48,limited,4.6,220,50,,110
18,Alta,Ikon,Utah,150,547,18,35,66,0,6,2614,11068,119,2614,8530,11068,2538,118,399,66,limited,1.3,140,84,,82
19,Arapahoe Basin,Ikon,Colorado,230,350,10,29,72,35,9,1428,13050,147,1428,10520,13050,2530,145,276,87,limited,1.5,125,76,,83
20,Aspen Snowmass,Ikon,Colorado,150,300,2,48,26,26,40,673,12510,336,673,8040,12510,4470,366,309,66,limited,5.3,658,75,,124
21,Big Sky,Ikon,Montana,140,400,47,79,133,57,36,5800,11166,317,5850,7500,11166,3666,294,267,69,limited,6,400,49,,110
23,Brighton,Ikon,Utah,140,500,14,26,25,0,8,1050,10500,65,1050,8755,10500,1745,66,418,67,limited,1.2,200,86,200 ac,67
24,Copper Mountain,Ikon,Colorado,155,300,38,36,51,25,24,2527,12313,150,2465,9712,12313,2601,150,248,74,unlimited,1.7,364,50,,30
25,Crystal Mountain,Ikon,Washington,150,486,7,26,27,25,11,2600,7012,85,2600,3912,7012,3100,80,406,76,limited,2.5,10,60,,63
26,Deer Valley,Ikon,Utah,130,300,28,32,10,33,21,2026,9570,102,2026,6570,9570,3000,103,264,55,limited,2.8,660,42,,109
27,Eldora Mountain,Ikon,Colorado,160,312,11,29,11,9,10,680,10600,61,680,9360,10600,1240,53,202,57,unlimited,3,680,60,,80
30,Killington/Pico,Ikon,Vermont,200,250,28,66,61,0,22,1526,4241,155,1509,1165,4229,3064,155,178,53,limited,6,600,64,,90
31,Mammoth Mountain,Ikon,California,250,400,26,83,42,22,25,3500,11053,173,3500,7953,11059,3106,175,344,47,unlimited,3,700,69,,114
32,Mt. Bachelor,Ikon,Oregon,180,462,23,65,26,4,12,4323,9065,119,4323,5700,9065,3365,101,400,75,limited,4,1600,64,,79
34,Snowbasin,Ikon,Utah,140,300,11,39,61,7,12,3000,9350,118,3000,6391,9350,2959,104,276,87,limited,3.5,15936,82,,85
36,Snowbird,Ikon,Utah,190,500,11,35,60,33,14,2500,11000,140,2500,7760,11000,3240,169,446,71,limited,2.5,0,51,,99
37,Solitude Mountain,Ikon,Utah,150,500,4,25,38,15,8,1200,10488,82,1200,7900,10488,2588,80,386,64,unlimited,3,150,65,,71
38,Steamboat,Ikon,Colorado,145,336,20,74,68,9,21,2965,10568,171,3668,6900,10568,3668,170,293,70,unlimited,3,375,59,30 ac,120
39,Stratton Mountain,Ikon,Vermont,140,180,40,34,25,0,11,670,3875,99,625,1872,3875,2003,99,124,31,unlimited,3,474,61,,90
40,Sugarbush,Ikon,Vermont,155,250,25,47,30,8,16,581,4083,111,484,1483,4083,2600,111,213,60,unlimited,3,406,64,,83
41,Sun Valley,Ikon,Idaho,140,221,31,47,42,0,17,2457,9150,120,2054,5750,9150,3400,75,175,47,limited,3,645,86,,107
43,Taos Ski Valley,Ikon,New Mexico,135,300,15,17,33,44,13,1294,12481,110,1200,9200,12481,3281,110,184,38,limited,5,8320,67,,84
44,The Summit at Snoqualmie,Ikon,Washington,125,428,10,26,29,0,20,1994,3865,65,1914,2610,5420,2810,62,244,47,limited,0.8,5,85,541 ac,67
46,Winter Park,Ikon,Colorado,162,360,40,35,79,12,25,3081,12060,165,3081,9000,12060,3060,167,329,81,unlimited,4.9,313,82,,119