Resort,Country,Price,Season,Highest point,Lowest point,Beginner slopes,Intermediate slopes,Difficult slopes,Total slopes,Snow cannons,Total lifts,Lift capacity,Snowparks,Nightskiing,latitude,longitude,Snow
Grossarltal-?Dorfgastein,Austria,50,December - April,2033,850,25,43,1,69,0,20,29710,Yes,No,47.125,13.125,64.5175
Katschberg,Austria,46,November - April,2220,1066,10,50,10,70,750,17,26458,Yes,Yes,47.125,13.625,69.98
Valfre?jus,France,29,December - April,2737,1550,40,20,10,70,80,10,15800,Yes,No,45.125,6.625,57.26111111111111
Savognin,Switzerland,50,December - April,2713,1200,32,38,0,70,100,13,14000,Yes,Yes,46.625,9.625,70.99833333333333
Scuol-Motta Naluns,Switzerland,50,December - April,2785,1250,27,32,11,70,136,13,18000,Yes,No,46.875,10.375,59.84222222222221
Passo San Pellegrino-?Falcade,Italy,47,November - April,2513,1190,20,38,8,66,0,17,24030,Yes,No,46.375,11.875,75.03
Piau Engaly,France,37,November - April,2560,1420,35,22,8,65,40,10,13615,Yes,No,42.875,0.125,64.04222222222222
Flumserberg,Switzerland,51,November - April,665,425,10,38,17,65,0,21,30867,Yes,Yes,47.125,9.375,63.583749999999995
Super Sauze,France,30,December - April,2450,1400,35,20,10,65,100,22,17948,Yes,No,44.375,6.625,49.922000000000004
Bukovel,Ukraine,32,November - May,1372,890,26,28,11,65,0,18,33839,Yes,Yes,48.375,24.375,79.46166666666666
La Norma,France,29,December - April,2750,1350,17,43,5,65,126,13,13290,Yes,No,45.125,6.625,57.26111111111111
Pal-?Arinsal-La Massana-Vallnord-,Andorra,37,December - April,1550,1230,31,24,8,63,296,31,37400,Yes,No,42.625,1.375,75.30857142857143
Arabba,Italy,49,December - April,2478,1602,32,22,8,62,620,23,43973,Yes,No,46.375,11.875,75.03
Wildkogel-Neukirchen-?Bramberg,Austria,44,December - April,2150,820,28,25,9,62,335,24,27388,Yes,Yes,47.375,12.375,68.55375
Hintertux Glacier,Austria,52,Year-round,3250,1500,14,35,11,60,260,22,38852,Yes,No,47.125,11.625,68.33111111111111
Disentis 3000,Switzerland,49,December - April,2833,1227,20,30,10,60,4,13,10990,Yes,No,46.625,8.875,73.33857142857143
Belalp-Blatten,Switzerland,49,December - April,3118,1322,20,20,20,60,0,13,13640,Yes,No,46.375,7.875,65.78272727272727
San Martino di Castrozza,Italy,44,November - April,2357,1404,16,32,12,60,150,24,29859,Yes,Yes,46.375,11.875,75.03
Meiringen-Hasliberg,Switzerland,50,December - April,1055,600,20,34,6,60,75,15,16381,No,Yes,46.625,8.125,51.37833333333333
Toggenburg-Wildhaus-?Unterwasser-?Alt St. Johann,Switzerland,52,December - April,2262,900,10,45,5,60,55,25,19956,Yes,Yes,47.125,9.375,63.583749999999995
Alpe di Siusi-Seiser Alm-,Italy,54,December - April,1669,1000,14,45,1,60,70,27,35624,Yes,No,46.625,11.625,40.392
Le Lioran,France,31,December - April,1850,1160,30,20,10,60,241,22,25195,Yes,Yes,45.125,2.875,82.08500000000001
Saint Luc-?Chandolin-Anniviers-,Switzerland,47,December - April,3025,1655,20,30,10,60,104,15,10350,Yes,No,46.125,7.625,67.96125
Les Karellis,France,27,December - April,2520,1600,26,25,9,60,98,16,17452,Yes,No,45.125,6.375,70.12875
Peyragudes,France,40,December - April,2400,1600,30,26,4,60,230,17,22791,Yes,No,42.875,0.375,21.065
Leysin,Switzerland,45,December - April,2205,1250,43,15,2,60,72,16,12980,Yes,No,46.375,7.125,63.38857142857143
Ponte di Legno-Passo ?Tonale-?Presena Glacier-?Temu?-Pontedilegno-Tonale-,Italy,42,October - May,3016,1121,10,40,9,59,0,30,49825,Yes,Yes,46.375,10.625,59.90833333333333
Eggli-?La Videmanette-Gstaad-?Saanen-?Rougemont,Switzerland,54,December - March,2151,992,35,17,5,57,0,17,15363,No,No,47.375,9.125,21.523333333333337
Anze?re,Switzerland,46,December - April,2420,1500,12,37,9,58,120,14,12462,Yes,No,46.375,7.375,60.379999999999995
Borovets,Bulgaria,28,December - April,2560,1300,24,29,5,58,160,14,15800,Yes,Yes,42.375,23.625,8.465
Font-Romeu-?Bolque?re Pyre?ne?es 2000,France,38,December - April,2213,1650,30,19,9,58,535,24,27378,Yes,No,42.625,2.125,20.67
Oppdal,Norway,44,Unknown,1300,585,40,7,9,56,0,1,0,No,No,62.625,9.625,63.17090909090909
Bre?vent-?Fle?ge?re-Chamonix-,France,51,December - April,2525,1030,11,25,20,56,0,19,26734,Yes,No,45.875,6.875,57.44833333333333
Les Houches-?Saint-Gervais-Prarion-?Bellevue-Chamonix-,France,43,December - April,1000,584,25,25,5,55,133,16,19859,Yes,No,45.875,6.875,57.44833333333333
Ylla?s,Finland,42,November - May,718,200,21,28,6,55,36,29,28284,Yes,Yes,67.625,24.125,84.97333333333334
Belvedere-?Col Rodella-?Ciampac-?Buffaure-Canazei-?Campitello-?Alba-?Pozza di Fassa,Italy,48,December - April,2428,1320,7,40,7,54,0,39,56216,Yes,Yes,45.625,11.875,1.18
Lauchernalp-Lo?tschental,Switzerland,48,April,3111,1419,20,17,18,55,28,6,6800,Yes,No,46.375,7.875,65.78272727272727
Grossglockner Heiligenblut,Austria,44,December - April,2989,1301,20,34,1,55,60,13,12500,No,No,47.125,12.625,48.94916666666666
Brandnertal-Brand-?Bu?rserberg,Austria,46,December - April,2000,904,22,30,3,55,82,15,18963,Yes,Yes,47.125,9.875,44.544285714285714
Alpe du Grand-Serre-La Morte,France,27,December - March,2184,1367,36,17,2,55,0,15,13486,Yes,No,45.125,5.875,2.36
Kopaonik,Serbia,30,December - April,2017,1057,30,19,6,55,315,27,35052,Yes,Yes,43.375,20.875,64.6675
Aussois,France,29,December - April,2750,1500,30,22,3,55,130,8,9228,Yes,No,45.125,6.625,57.26111111111111
First-Grindelwald,Switzerland,55,December - March,2501,1050,30,15,8,53,38,9,12720,Yes,No,46.625,8.125,51.37833333333333
So?renberg-Rothorn-?Dorf,Switzerland,44,December - April,2350,1110,30,15,8,53,0,17,20930,Yes,Yes,46.875,8.125,76.83833333333334
Riserva Bianca-Limone Piemonte,Italy,34,December - April,2060,1046,11,35,5,51,0,17,20655,No,No,44.125,7.625,55.39857142857142
Gitschberg Jochtal,Italy,46,December - April,1354,772,17,25,9,51,90,24,23617,Yes,No,46.875,11.625,71.785
Schilthorn-Mu?rren-?Lauterbrunnen,Switzerland,55,December - April,2970,796,19,23,9,51,38,16,13852,Yes,No,46.625,7.875,46.792857142857144
Dachstein West,Austria,42,December - April,1620,780,15,33,3,51,163,36,32938,Yes,Yes,47.625,13.375,72.83428571428571
Pila,Italy,42,November - April,1540,570,8,35,6,49,480,17,22154,Yes,No,45.875,8.125,18.241666666666664
Brigels-?Waltensburg-?Andiast,Switzerland,49,December - March,2418,1110,13,33,3,49,100,13,10030,Yes,Yes,46.875,9.125,67.19111111111111
Aprica,Italy,38,November - May,2270,1162,28,14,7,49,0,16,13965,Yes,No,46.125,10.125,18.6
Bormio-Cima Bianca,Italy,40,November - April,3012,1225,14,34,2,50,240,15,17630,Yes,Yes,46.375,10.375,54.19888888888889
Sedrun-Oberalp,Switzerland,53,November - April,2300,1500,10,35,5,50,0,12,12100,Yes,No,46.625,8.625,62.480999999999995
Grosseck-?Speiereck-Mauterndorf-?St. Michael,Austria,41,December - April,2400,1095,26,17,7,50,150,12,14286,No,Yes,47.125,13.625,69.98
Hirmentaz-?Les Habe?res-Bellevaux-?Habe?re-Poche,France,24,December - March,1610,923,30,17,3,50,0,33,29480,Yes,No,46.375,6.625,32.28
Pragelato,Italy,0,December - April,2700,1335,14,32,4,50,0,5,3660,No,No,45.125,6.875,72.04777777777778
Porte? Puymorens,France,30,September - April,2471,1600,21,20,9,50,70,9,7380,Yes,No,42.625,1.875,37.175714285714285
Mythenregion,Switzerland,39,December - March,1070,573,18,31,1,50,55,15,12592,Yes,No,47.125,8.625,24.902500000000003
Candanchu?,Spain,41,December - April,2236,1514,15,18,15,48,0,25,19650,No,No,42.875,-0.625,59.31666666666666
Zugspitze,Germany,45,May,2000,700,7,13,0,20,0,10,13150,No,No,47.375,10.875,73.34142857142857
Lindvallen-?Ho?gfja?llet-Sa?len-,Sweden,41,November - May,887,579,22,17,3,42,0,53,50505,Yes,Yes,61.125,13.125,71.01375
Jasna? Ni?zke Tatry-Chopok,Slovakia,39,December - May,2004,943,19,17,7,43,527,32,35225,Yes,Yes,48.875,19.625,54.646
Tanda?dalen-?Hundfja?llet-Sa?len-,Sweden,41,November - May,872,572,18,15,12,45,0,46,42636,Yes,Yes,61.125,12.875,74.46571428571428
Gazprom Mountain Resort-Laura-– Esto-Sadok-Sotschi-,Russia,32,December - April,949,547,7,10,2,19,0,18,27874,No,Yes,43.625,40.375,44.26285714285715
Steinplatte-?Winklmoosalm-Waidring-?Reit im Winkl,Austria,46,November - April,1860,740,18,22,2,42,107,14,31940,Yes,No,48.625,15.625,1.97
Me?tabief,France,26,Unknown,1420,1000,19,18,2,39,0,28,24745,No,No,46.875,6.375,71.39
Vitosha-Sofia,Bulgaria,18,December - April,2290,726,12,6,2,20,0,15,12450,No,Yes,42.625,23.375,14.173333333333332
Latemar-Obereggen-?Pampeago-?Predazzo,Italy,47,November - April,1540,1050,9,32,7,48,200,22,36540,Yes,Yes,46.375,11.625,55.005714285714284
Szczyrk-Skrzyczne,Poland,20,December - April,1257,524,22,7,4,33,0,16,22500,No,No,49.625,19.125,26.6725
Mariborsko Pohorje-Maribor,Slovenia,31,December - March,1327,325,23,13,5,41,92,22,23436,No,Yes,46.625,15.625,21.65
Praz de Lys-?Sommand-Taninges-?Mieussy-,France,29,December - April,1966,1240,22,16,6,44,60,24,26205,Yes,No,46.125,6.625,73.36
Jahorina,Bosnia and Herzegovina,20,Unknown,1889,920,3,19,3,25,0,11,16230,No,Yes,43.625,18.625,45.038
Kreischberg,Austria,44,December - April,2118,868,17,16,9,42,110,14,18808,Yes,No,47.125,14.125,87.92666666666666
Garmisch-Classic-Garmisch-Partenkirchen,Germany,43,December - April,2050,732,12,18,10,40,0,19,21090,Yes,No,47.375,11.125,63.667142857142856
Carezza Ski,Italy,41,December - April,2337,1200,21,14,3,38,175,20,19200,Yes,No,46.375,11.625,55.005714285714284
Pizol-Bad Ragaz-?Wangs,Switzerland,51,December - April,510,490,14,21,8,43,62,11,12786,Yes,Yes,46.875,9.375,46.065
SuperBesse-Puy de Sancy,France,32,December - April,1850,1300,30,9,4,43,299,22,21245,Yes,Yes,45.625,2.875,10.496666666666668
Sto?ten,Sweden,41,Unknown,830,443,26,3,3,32,0,19,19250,No,No,61.375,12.875,75.98571428571428
Fellhorn-?Kanzelwand-Oberstdorf-?Riezlern,Austria,45,December - April,1967,920,13,19,2,34,110,17,22076,Yes,Yes,47.625,12.625,62.92666666666667
Idre Fja?ll,Sweden,40,October - April,890,588,17,22,2,41,0,25,24760,Yes,Yes,61.875,12.875,79.24714285714286
Großglockner Resort Kals-Matrei,Austria,47,December - April,2422,933,8,22,6,36,0,17,18276,Yes,No,47.125,12.625,48.94916666666666
Pamporovo,Bulgaria,28,December - April,1926,1620,17,6,5,28,130,13,14266,Yes,Yes,41.625,24.625,60.315999999999995
Abetone-?Val di Luce,Italy,30,December - April,1892,1240,14,28,1,43,110,17,24056,Yes,No,44.125,10.625,19.485
Gerlitzen,Austria,45,December - April,1000,520,10,27,3,40,120,18,22220,Yes,No,46.625,13.875,56.298
Paganella-Andalo,Italy,40,November - April,2125,1030,9,22,1,32,0,18,23996,Yes,Yes,46.125,11.125,11.712499999999999
Melchsee-Frutt-Kerns-,Switzerland,44,December - April,2255,1080,20,6,10,36,110,11,14150,Yes,Yes,46.875,8.375,44.53875
Vall de Nu?ria,Spain,30,Unknown,1964,912,4,2,1,7,0,6,4840,No,No,42.375,2.125,41.53375
Are?ches-Beaufort-,France,29,December - April,2300,1050,15,20,15,50,45,14,14462,Yes,No,45.625,6.625,85.03999999999999
S?pindleru?v Mly?n,Czech Republic,34,December - April,1235,702,8,13,2,23,0,23,21638,Yes,Yes,50.625,15.625,64.63333333333334
Les Mosses-?La Le?cherette,Switzerland,31,December - April,1870,1445,10,30,0,40,0,14,10540,No,No,46.375,7.125,63.38857142857143
Cimone-Montecreto-?Sestola-?Le Polle,Italy,35,November - April,1976,900,15,25,10,50,0,20,23746,Yes,No,45.875,11.125,21.654000000000003
Luchon Superbagne?res,France,34,December - April,1440,635,16,10,6,32,180,13,15965,Yes,No,42.875,0.625,3.345
Le?lex-?Crozet,France,28,December - March,900,640,16,7,4,27,120,19,16750,Yes,No,46.375,5.875,23.22666666666667
Alpika Service,Russia,0,December - April,2228,535,10,10,5,25,0,9,18120,No,No,43.625,40.125,59.92
Sinaia,Romania,32,Unknown,880,834,3,11,4,18,0,9,9864,No,No,45.375,25.625,73.22749999999999
Gourette-Eaux Bonnes-,France,38,December - April,2450,1350,18,13,4,35,158,12,19660,Yes,No,42.875,-0.375,64.665
Rauriser Hochalmbahnen-Rauris,Austria,43,December - April,2175,940,15,12,5,32,35,10,11927,Yes,No,47.125,12.875,73.52250000000001
Hoch-Ybrig-Unteriberg-?Oberiberg,Switzerland,46,December - April,1850,1035,15,30,5,50,0,14,16650,Yes,No,47.125,8.875,36.678333333333335
Meran 2000,Italy,39,December - March,1609,648,12,25,3,40,0,10,9478,Yes,No,46.625,11.375,66.33833333333332
Na?tschen-Andermatt,Switzerland,44,December - March,2344,1444,8,5,8,21,0,7,13600,No,No,46.625,8.625,62.480999999999995
Albiez-Montrond,France,25,December - April,2200,1500,25,7,3,35,0,13,10432,No,No,45.125,6.375,70.12875
Tarvisio-Monte Lussari,Italy,35,December - April,1752,754,9,11,5,25,0,15,17354,Yes,Yes,46.375,13.625,77.24600000000001
Mount Parnassos-Fterolakka-?Kellaria,Greece,30,Unknown,2300,1600,18,15,3,36,0,17,20052,No,No,38.625,22.625,14.17
Moelltal Glacier-Mo?lltaler Gletscher-,Austria,47,June - May,2108,1222,5,7,4,16,45,9,15610,Yes,No,46.875,13.125,65.04777777777777
Wendelstein-Brannenburg-?Osterhofen,Germany,35,December - March,1723,791,0,7,4,11,0,4,3250,No,No,49.375,11.125,23.886666666666667
Glenshee,United Kingdom,33,December - April,900,650,24,10,2,36,6,21,16255,No,No,56.625,-3.375,49.114999999999995
Sulden am Ortler-Solda all'Ortles-,Italy,41,November - May,3250,1900,17,13,14,44,0,13,15418,Yes,Yes,46.625,10.625,43.362857142857145
Poiana Bras?ov,Romania,32,December - April,1799,1021,5,2,5,12,145,10,11038,No,Yes,45.625,25.625,13.58
Hinterstoder-Ho?ss,Austria,44,December - April,2000,600,12,18,10,40,267,19,18464,Yes,No,47.625,14.125,58.424
St. Jean Montclar,France,28,December - April,2500,1350,25,20,5,50,0,14,13320,No,No,44.375,6.375,20.669999999999998
Port del Comte,Spain,33,Unknown,2310,1745,20,15,5,40,0,16,13750,No,No,42.125,1.625,2.46
Ta?nndalen,Sweden,41,Unknown,1038,743,20,15,3,38,0,17,19270,No,No,62.625,12.375,94.60000000000001
Feldberg-Seebuck-?Grafenmatt-?Fahl,Germany,35,December - April,1448,888,7,14,5,26,0,14,17624,Yes,No,47.875,8.125,71.1625
Pitztal Glacier-Pitztaler Gletscher-,Austria,48,September - May,2685,1740,3,16,0,19,0,7,10935,Yes,No,46.875,10.875,86.02416666666666
Tauplitz-Bad Mitterndorf,Austria,41,December - April,896,812,18,18,6,42,135,19,18525,No,No,47.625,13.875,70.58428571428571
Hochoetz-Oetz,Austria,37,December - April,1410,820,12,21,3,36,89,15,17422,Yes,No,47.125,11.125,82.33857142857143
Rosshu?tte-Seefeld,Austria,44,December - April,2064,1230,10,9,1,20,208,13,12363,Yes,Yes,47.375,11.125,63.667142857142856
Malbun,Liechtenstein,42,December - April,2000,1600,11,9,3,23,16,9,8800,Yes,No,47.125,9.625,54.33
S?pic?a?k,Czech Republic,23,December - April,1202,854,3,3,0,6,30,12,7390,Yes,Yes,50.375,17.125,50.0
Riesneralm-Donnersbachwald,Austria,40,December - April,1820,950,15,12,3,30,137,8,6880,No,No,47.375,14.125,76.99571428571429
Berwang-?Bichlbach-?Rinnen,Austria,42,December - April,1743,1067,24,10,1,35,130,15,15623,No,Yes,47.375,10.625,69.91
Glungezer-Tulfes,Austria,30,December - April,2304,950,7,15,0,22,2,8,7116,Yes,No,47.125,11.625,68.33111111111111
Fanningberg,Austria,41,December - April,2115,1497,11,5,7,23,36,6,7162,Yes,No,47.125,13.625,69.98
Turracher Ho?he,Austria,45,November - May,2205,1400,14,24,3,41,220,18,18268,Yes,Yes,46.875,13.875,71.3157142857143
Indoor ski area Snow Arena-Druskininkai,Lithuania,29,Year-round,163,97,1,0,0,1,16,5,2800,Yes,Yes,54.125,23.875,58.188
Niedere-Andelsbuch-?Bezau,Austria,31,December - March,1715,655,5,4,1,10,2,8,6043,No,No,47.375,9.875,47.49125
Wurzeralm-Spital am Pyhrn,Austria,41,December - April,1870,810,10,10,2,22,57,8,9048,No,No,47.625,14.375,52.82
Pra?bichl-Vordernberg,Austria,37,December - April,1608,1100,6,11,3,20,90,6,6624,Yes,No,47.625,14.875,56.365
Pfelders-Moos in Passeier-,Italy,33,December - April,2502,1601,5,9,4,18,35,6,4300,Yes,Yes,46.875,11.125,64.8625
Mitterdorf-Almberg-– Mitterfirmiansreut,Germany,23,December - March,1139,841,2,2,1,5,31,10,6266,No,Yes,48.875,13.625,50.32833333333334
Lavarone,Italy,36,December - April,1650,1150,19,5,2,26,70,15,12040,No,No,45.875,11.375,4.723333333333334
Geißkopf-Bischofsmais,Germany,24,December - March,1116,835,1,5,0,6,16,9,6950,Yes,Yes,48.875,13.125,56.376
Donovaly-Park Snow-,Slovakia,26,Unknown,1361,914,5,5,0,10,30,25,13620,Yes,Yes,48.875,19.125,82.2825
Kobla-Bohinj,Slovenia,22,December - March,1480,540,12,10,1,23,30,6,5720,No,No,46.125,13.875,30.509999999999998
Sudelfeld-Bayrischzell,Germany,33,Unknown,1563,850,5,24,3,32,100,15,17477,Yes,No,47.625,12.125,67.32249999999999
Gru?ntenlifte-Kranzegg-Rettenberg-,Germany,31,December - April,1700,900,2,14,0,16,12,9,7420,Yes,No,47.625,10.375,43.96
Grebenzen-St. Lambrecht,Austria,34,December - March,1870,1010,2,9,0,11,25,7,6790,No,No,47.125,14.375,72.5425
Kirchdorf,Austria,30,December - March,780,640,3,2,0,5,6,4,3570,No,No,47.625,12.375,52.35999999999999
Nebelhorn-Oberstdorf,Germany,44,December - May,2224,828,2,5,4,11,30,8,5990,No,No,47.375,10.375,59.595
Lachtal,Austria,41,December - April,2222,1600,7,16,2,25,53,10,10620,No,No,47.375,14.375,82.39571428571428
Ramsau am Dachstein-Rittisberg,Austria,36,December - March,1636,1035,14,10,1,25,40,15,10815,No,No,47.375,13.625,57.8725
Bu?rchen-?To?rbel-Moosalp,Switzerland,39,December - March,2550,1480,5,15,5,25,7,9,7470,No,Yes,46.375,7.875,65.78272727272727
Guzet,France,31,December - March,2100,1100,20,14,6,40,100,15,11130,Yes,No,42.875,1.375,3.276666666666667
Schetteregg-Egg,Austria,32,November - March,1325,1070,3,6,1,10,6,8,6642,Yes,No,47.375,9.875,47.49125
Fichtelberg-Oberwiesenthal,Germany,26,December - April,1215,911,6,6,2,14,141,9,7384,Yes,Yes,50.375,12.875,77.006
Bellwald,Switzerland,45,December - April,1600,1204,9,21,6,36,26,6,4620,Yes,No,46.375,8.125,67.71714285714286
Klewenalp-?Stockhu?tte-Beckenried-?Emmetten,Switzerland,45,December - April,1200,436,15,25,0,40,0,14,13394,No,No,46.875,8.375,44.53875
Scho?neck-Skiwelt-,Germany,20,December - March,760,620,1,1,0,2,16,6,4324,Yes,Yes,50.125,8.875,36.22
Bia?ka Tatrzan?ska-Kotelnica-?Kanio?wka-?Bania,Poland,23,December - April,910,680,12,3,0,15,0,8,28020,Yes,Yes,49.375,20.125,84.096
S?trbske? Pleso,Slovakia,35,December - April,1840,1376,2,5,0,7,52,8,7700,Yes,No,49.125,20.125,94.48857142857142
Gaissau-Hintersee,Austria,35,March,1567,750,23,10,0,33,0,9,10110,Yes,No,47.625,13.125,27.755
Kellerjoch-Schwaz,Austria,29,April,857,545,5,2,2,9,5,6,3786,No,No,47.375,11.625,81.365
Aillons-Marge?riaz,France,19,Unknown,1785,1370,18,4,1,23,0,8,10025,No,No,45.625,6.125,30.2175
Hochrindl-Sirnitz,Austria,32,December - March,1886,1540,5,11,3,19,30,12,7350,Yes,Yes,46.875,14.125,43.15
La Bresse-Hohneck,France,29,December,1350,872,13,7,1,21,300,18,21515,No,Yes,48.125,6.875,59.839999999999996
Silbersattel-Steinach,Germany,19,December - April,842,590,2,1,0,3,6,4,3300,Yes,No,50.375,11.125,66.66666666666667
Gornaya Karusel,Russia,22,December - April,960,540,4,15,1,20,0,4,15740,No,No,43.625,40.375,44.26285714285715
Lammeralm-Langenwang,Austria,29,December - March,1230,980,2,3,2,7,24,11,2800,No,No,47.625,15.625,50.05428571428571
Kitzbu?heler Horn,Austria,40,December - April,2000,800,6,9,2,17,55,9,10110,Yes,No,47.375,12.375,68.55375
Myrkdalen,Norway,44,November - May,1060,450,13,12,4,29,32,9,10279,Yes,Yes,60.875,6.375,89.14571428571428
Loser-Altaussee,Austria,40,December - April,1770,850,18,12,3,33,50,8,11114,Yes,No,47.625,13.875,70.58428571428571
Christlum-Achenkirch,Austria,44,December - April,1800,950,6,16,5,27,0,13,12843,Yes,No,47.625,11.625,56.928
Grasgehren-Bolgengrat,Germany,25,November - April,1700,1400,3,8,0,11,10,6,5140,Yes,No,47.375,10.125,60.629999999999995
Go?tschen-Bischofswiesen,Germany,25,December - April,1307,880,2,1,4,7,35,3,4000,No,Yes,47.625,12.875,52.75833333333333
Torrent-Leukerbad,Switzerland,46,December - April,2610,1411,3,26,16,45,40,14,11390,Yes,No,46.375,7.625,53.306999999999995
Monte Popolo-Eben im Pongau,Austria,36,December - April,1612,862,4,2,0,6,55,4,4550,Yes,No,47.375,13.375,67.78333333333333
Jochgrimm-Passo Oclini-,Italy,17,December - April,2250,1850,4,2,1,7,20,8,3540,No,No,46.375,11.375,30.71
Alpe Lusia-Moena-?Bellamonte,Italy,47,December - April,2340,1370,12,10,4,26,0,10,16280,Yes,No,46.375,11.625,55.005714285714284
Unternberg-Ruhpolding-,Germany,20,December - March,1417,710,1,1,0,2,15,4,3350,No,Yes,47.625,12.625,62.92666666666667
Diavolezza-?Lagalb,Switzerland,59,"October - November, December - May, June - October",3006,2091,0,21,10,31,20,11,3970,No,No,46.375,9.875,76.31166666666667
Kubi?nska hol?a,Slovakia,26,December - April,1396,720,2,10,2,14,60,5,11480,Yes,No,49.375,19.375,57.79600000000001
Ga?la?,Norway,43,November - April,1148,800,13,5,1,19,50,8,7600,Yes,Yes,61.625,9.875,86.94166666666666
Molines-en-Queyras-?Saint-Ve?ran,France,29,December - April,2800,1750,20,12,1,33,0,14,12290,No,No,44.625,6.875,75.81428571428572
Tatranska? Lomnica,Slovakia,35,December - April,2190,888,5,5,1,11,216,4,12480,No,No,49.125,20.375,42.128
Kanin-Sella Nevea-?Bovec,Slovenia,35,December - April,1103,460,4,6,0,10,0,11,11670,No,No,46.375,13.375,29.528
Postwiesen Skidorf-Neuastenberg,Germany,26,December - March,730,605,3,3,1,7,23,9,6762,Yes,Yes,51.125,8.625,70.86666666666667
Kaiseregg-?Riggisalp-Schwarzsee,Switzerland,34,December - March,1750,1050,14,5,1,20,46,15,5790,Yes,Yes,46.625,7.375,71.58833333333332
St. Pierre de Chartreuse-Le Planolet,France,21,December - April,1800,900,18,12,5,35,35,5,12610,No,No,45.375,5.875,56.536
Oberjoch-Bad Hindelang-– Iseler,Germany,38,December - April,1559,1130,6,24,2,32,70,6,12388,Yes,Yes,47.625,10.375,43.96
Mo?nichkirchen-?Mariensee,Austria,35,March,1450,870,5,6,2,13,80,6,6741,Yes,No,47.625,15.875,47.144999999999996
Gra?chen,Switzerland,48,December - April,2864,1619,9,31,2,42,0,15,13860,No,No,46.125,7.875,62.5
Puigmal,France,0,Unknown,2700,1830,9,15,7,31,0,13,11865,No,No,42.375,2.125,41.53375
Kranzberg-Mittenwald,Germany,29,December,1350,980,6,7,2,15,8,10,5850,Yes,Yes,47.375,11.125,63.667142857142856
Wetterstein lifts-Wettersteinbahnen-– Ehrwald,Austria,43,December - March,1530,1000,15,5,3,23,33,10,5425,Yes,No,47.375,10.875,73.34142857142857
Stuhleck-Spital am Semmering,Austria,42,April,1774,777,18,6,0,24,240,9,14400,Yes,Yes,47.625,15.875,47.144999999999996
